 Gambia,81,82.3,76.9,60.2,48.1,44.7,41.2,38.2,35.8,33.3,33.2,32.7,32.2,31.6
 Georgia,28,35.9,29.5,27.4,27.3,25.2,22.3,17.9,15,13.2,13.4,13.4,12.8,12.1
 Ghana,74.5,67.4,54.3,47.1,35.9,32.6,29.9,27.4,25.1,22.9,24.2,25.3,23.2,21.5
 Guatemala,25.8,22.5,16.9,14.8,14.8,14.9,16.4,15.3,16.3,15.6,13.7,14.3,13.7,12.9
 Guinea,74.5,77,83.9,84.8,76.9,74.1,71,70.3,69.6,68.8,67.5,65.9,64.6,63.5
 Guinea-Bissau,81,80.7,80.4,81.5,82.1,81.6,81.7,81.4,81.3,80.9,80.4,79.9,79.5,78.9
 Guyana,56.8,42.1,21.3,19.5,11.8,10.5,9.4,8.4,7.6,6.9,6.5,5.9,5.4,5
 Haiti,62.6,62.6,57.9,53.2,49,47.9,46.9,45.7,44.6,43.7,42.8,41.9,41,40.1
 Honduras,49.5,41.9,32.9,34.9,23.8,25.8,30.2,27.3,26.1,26.7,24.4,26.2,24.5,23.1
" Hong Kong, China (SAR)",0.7,0.5,0.4,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
 India,80.7,80.1,77.7,73.9,68,63.1,58.1,56,53.9,51.9,49.7,47.1,44.8,42.4
 Indonesia,87.1,80.2,78.8,59.3,46.5,43.3,40.6,39,36.2,31.5,29.4,26,23.6,21.5
 Iran (Islamic Republic of),11.5,8.1,4.1,1,0.6,0.5,0.4,0.4,0.8,0.7,0.8,0.7,0.7,0.7
 Iraq,39.3,29.7,13.9,13.6,11.7,11.2,10.3,9.4,9.1,8.4,7.6,7.4,7.1,6.8
 Jamaica,30.3,13.7,6.8,5.1,4.4,4.2,4.2,4.1,4.1,3.9,3.7,3.7,3.5,3.3
 Jordan,17.4,12.2,9.9,3.9,1.5,1.6,1.6,1.6,1.6,1.6,1.6,1.5,1.4,1.4
 Kazakhstan,15.4,21.3,25.7,5.2,0.6,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1
 Kenya,49.9,55.4,58.4,64.7,66.7,66.3,65.8,64.9,63.9,62.8,61.5,59.5,57.3,55.5
 Korea (Democratic People's Rep. of),66.8,68.3,66.5,62.1,57.1,55.8,54.7,53.6,52.5,51.7,50.6,50,49.4,48.5
 Korea (Republic of),1.8,0.6,0.2,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
 Kuwait,3.1,0.8,0.6,0.3,0.4,0.3,0.4,0.4,0.5,0.6,0.6,0.7,0.7,0.6
 Kyrgyzstan,23.4,50.6,72.5,46.5,18.4,16.7,16.9,21.5,15.2,18.5,14.4,14.6,14.2,13.7
 Lao People's Democratic Republic,68.4,78.1,76.8,67.7,59.3,58.2,57.5,53.9,50.5,47.2,44.1,41.2,38.3,35.6
 Lebanon,1.9,0.9,0.7,0.6,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.2,0.2
 Lesotho,57.2,58.2,67.4,70.4,69.2,68.1,66.9,66.1,65.2,64.1,63.3,62.5,61.6,60.6
 Liberia,91.6,92.2,90.4,90.5,85.2,82.9,80.1,76.6,72.5,71.7,71.2,70.5,69.9,69.4
 Libya,1.2,0.9,0.6,0.3,0.3,2.1,0.4,0.5,0.7,0.9,1,0.6,0.4,0.4
 Madagascar,86.9,86.2,83.7,87.7,91.1,90.9,90.2,89.4,88.5,87.5,86.9,86.4,85.8,85.3
 Malawi,84.3,83.7,86.4,89.4,87.8,88.1,88.4,88.4,88.3,88.3,88.2,87.8,87.3,86.9
